Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
JP,Ulsan,北九州市小倉北区大門一丁目６－４８,"33.880833, 130.873056",NO,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,北九州市若松区本町三丁目１３－１,"33.898056, 130.81",NO2,japan-soramame,ppm,0.005,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,北九州市門司区大里原町１２－１２,"33.895833, 130.935833",NOX,japan-soramame,ppm,0.013,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,千歳市若草４－１３,"42.786944, 141.605",NO2,japan-soramame,ppm,0.004,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,千葉市稲毛区宮野木町９９６－９,"35.653889, 140.097778",NOX,japan-soramame,ppm,0.003,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,千葉市花見川区花見川４－１,"35.693889, 140.098333",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,厚木市中町１－８－１１,"35.443333, 139.368056",NO2,japan-soramame,ppm,0.006,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,取手市大字寺田５１３９,"35.908333, 140.052778",NOX,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,取手市大字寺田５１３９,"35.908333, 140.052778",NO,japan-soramame,ppm,0.0,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,古河市下大野谷地川２４５６,"36.175833000000004, 139.75888899999998",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,名古屋市中区大須２丁目４０４番地先,"35.1625, 136.901111",SO2,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,名古屋市中川区元中野町２－１１,"35.134444, 136.883333",NO,japan-soramame,ppm,0.001,2024-03-10T13:30:00+05:30,Japan
JP,Ulsan,名古屋市港区港陽１－１－６５,"35.099722, 136.890278",NO2,japan-soramame,ppm,0.002,2024-03-10T13:30:00+05:30,Japan
